_step_x,train/mean_loss,_step_y,val/mean_loss
6,24.920589447021484,88.0,5.495636940002441
14,11.551118850708008,139.0,5.366774559020996
22,8.698726654052734,358.0,5.187315464019775
30,7.542319297790527,528.0,4.928233623504639
38,6.971641540527344,698.0,4.785102844238281
46,6.503818988800049,868.0,4.5718817710876465
54,6.233835697174072,1038.0,4.629886627197266
62,5.854477405548096,1208.0,4.36664342880249
70,5.673745155334473,1378.0,4.2919511795043945
78,5.4803619384765625,1548.0,4.40994930267334
97,6.618335247039795,1718.0,4.578924655914307
105,5.634829998016357,1888.0,4.527669429779053
113,5.369840145111084,2058.0,4.5771307945251465
121,5.275537967681885,2228.0,4.481197357177734
129,5.06913948059082,2398.0,4.598634243011475
148,6.132645606994629,2568.0,4.412343978881836
156,6.059878349304199,2738.0,4.401118278503418
164,5.917002201080322,2788.0,4.3838605880737305
172,5.850185871124268,2838.0,4.402807235717773
180,5.691563606262207,2888.0,4.330272674560547
188,5.596715927124023,2938.0,4.323272705078125
196,5.578540325164795,2988.0,4.330111980438232
204,5.508804798126221,3038.0,4.362265586853027
212,5.4741950035095215,3088.0,4.349756717681885
220,5.431092262268066,3138.0,4.328407287597656
228,5.386823654174805,3188.0,4.337723255157471
236,5.3438825607299805,3238.0,4.311434745788574
244,5.290401458740234,3288.0,4.314175605773926
252,5.261950969696045,3338.0,4.313482761383057
260,5.134796619415283,3388.0,4.2916083335876465
268,5.1292290687561035,3438.0,4.3056840896606445
276,5.136220932006836,3488.0,4.301083087921143
284,5.141103267669678,3530.0,4.298225402832031
292,5.046110153198242,,
300,5.0129876136779785,,
308,5.033881664276123,,
316,4.96786642074585,,
324,4.96686315536499,,
332,4.910177230834961,,
340,4.868894100189209,,
348,4.894847869873047,,
366,9.797407150268555,,
374,5.168598651885986,,
382,5.021763324737549,,
390,4.973327159881592,,
398,4.913964748382568,,
406,4.969581127166748,,
414,4.870553970336914,,
422,4.873776912689209,,
430,4.801488399505615,,
438,4.8433685302734375,,
446,4.813077926635742,,
454,4.785958290100098,,
462,4.827788352966309,,
470,4.764235496520996,,
478,4.706629276275635,,
486,4.746293067932129,,
494,4.712426662445068,,
502,4.657992362976074,,
510,4.7361674308776855,,
