_step,x/lr0
19,9.993355504538214e-05
35,9.999120644285005e-05
59,9.996482889570917e-05
75,9.993747935199786e-05
83,9.992087673039426e-05
107,9.985936556290039e-05
123,9.980861365258704e-05
139,9.975007534057437e-05
155,9.968375987074043e-05
171,9.960967771506666e-05
187,9.952784057198425e-05
203,9.943826136452675e-05
211,9.939057285945931e-05
235,9.923593455919566e-05
251,9.912321891107009e-05
259,9.906398061344504e-05
275,9.893975476411087e-05
283,9.887477211662558e-05
299,9.873908020293558e-05
307,9.866837629361527e-05
349,9.836657364424055e-05
365,9.820432207535548e-05
373,9.812036974351126e-05
381,9.803453744100869e-05
421,9.757729755661011e-05
429,9.748025917701959e-05
437,9.738136609723984e-05
445,9.728062222140034e-05
477,9.685921939403553e-05
485,9.67492826516023e-05
543,9.605147644461059e-05
559,9.580443804473542e-05
567,9.567823357647339e-05
575,9.555024554890729e-05
583,9.54204790147853e-05
623,9.474515049548756e-05
655,9.417341570853019e-05
681,9.387718066217125e-05
689,9.372649151309105e-05
697,9.357409585614153e-05
705,9.341999970764225e-05
721,9.310673033669521e-05
729,9.294756948158578e-05
777,9.195763798208602e-05
785,9.178688246385198e-05
801,9.14404884265908e-05
825,9.090879291050061e-05
883,8.980252473306785e-05
891,8.961267311259668e-05
907,8.922834512354111e-05
915,8.903388392756767e-05
923,8.883790147983734e-05
931,8.864040551740156e-05
947,8.824090429506667e-05
971,8.763049794670775e-05
979,8.742408669849702e-05
1003,8.679613963801673e-05
1021,8.658394705735988e-05
1029,8.637032994425882e-05
1069,8.528117350504303e-05
1093,8.461113351517376e-05
1101,8.438508174347009e-05
1109,8.415769224675975e-05
1125,8.369893603856764e-05
1191,8.205248749256015e-05
1231,8.083889915582235e-05
1239,8.059254973588297e-05
1247,8.034501231360672e-05
1255,8.00962966613472e-05
1295,7.883539021693225e-05
1311,7.832312720368047e-05
1335,7.754652016334632e-05
1377,7.649614418308414e-05
1385,7.623095845972513e-05
1393,7.596475692218459e-05
1409,7.542934848097017e-05
1417,7.516016271430479e-05
1425,7.489000340664043e-05
1433,7.461888122340395e-05
1441,7.43468068680349e-05
1449,7.407379108156299e-05
1481,7.297252973710758e-05
1505,7.213723044922118e-05
1513,7.185707426120748e-05
1555,7.07281291994493e-05
1619,6.843263065187501e-05
1635,6.785144884946733e-05
1651,6.726752705214194e-05
1675,6.638670868545686e-05
1683,6.609183272293759e-05
1701,6.579634122155991e-05
1717,6.520355828806323e-05
1725,6.490629025799946e-05
1733,6.460845349226382e-05
1741,6.431005974894185e-05
1749,6.401112080810761e-05
1765,6.34116545613499e-05
1789,6.250866192437267e-05
1805,6.190427662049124e-05
1813,6.160140266699436e-05
1837,6.0690199134109135e-05
1871,5.9775375071993364e-05
1879,5.946968529954331e-05
1887,5.9163641419276175e-05
1895,5.8857255513280316e-05
1903,5.855053967714674e-05
1911,5.8243506019491436e-05
1927,5.76285337363365e-05
1935,5.73206193888896e-05
1951,5.670399506143307e-05
1975,5.577725213662537e-05
1991,5.5158361509266454e-05
2015,5.422867687363268e-05
2023,5.39184712728631e-05
2041,5.360813071670102e-05
2049,5.329766745686021e-05
2057,5.29870937498986e-05
2073,5.2365664042161764e-05
2097,5.14329977659127e-05
2113,5.081101562629518e-05
2129,5.018898437370484e-05
2137,4.987798102577405e-05
2177,4.832357814326569e-05
2193,4.770233254313979e-05
2211,4.7391869283298997e-05
2219,4.708152872713693e-05
2251,4.584163849073354e-05
2259,4.553209511486487e-05
2267,4.522274786337464e-05
2291,4.4296004938566934e-05
2315,4.337146626366352e-05
2323,4.306383333852253e-05
2331,4.2756493980508586e-05
2355,4.183635858072385e-05
2389,4.091930133148243e-05
2397,4.061435596453687e-05
2405,4.030980086589088e-05
