_step,x/lr2
5,0.0667624765478424
13,0.03346247589706172
37,9.999120644285005e-05
45,9.998436736952335e-05
53,9.997557473810371e-05
69,9.995213026656718e-05
85,9.992087673039426e-05
93,9.990232305719945e-05
117,9.983496343768448e-05
141,9.975007534057437e-05
157,9.968375987074043e-05
173,9.960967771506666e-05
181,9.956972773794058e-05
197,9.948401787083122e-05
205,9.943826136452675e-05
221,9.934095423828947e-05
229,9.92894074598754e-05
253,9.912321891107009e-05
269,9.900282509302022e-05
277,9.893975476411087e-05
301,9.873908020293558e-05
317,9.859577077927637e-05
343,9.844486647586725e-05
351,9.836657364424055e-05
415,9.767247740510233e-05
431,9.748025917701959e-05
447,9.728062222140034e-05
455,9.71780315266968e-05
463,9.707359806323416e-05
487,9.67492826516023e-05
495,9.663752006668144e-05
513,9.652393605146846e-05
521,9.640853509006574e-05
537,9.617230062357069e-05
545,9.605147644461059e-05
569,9.567823357647339e-05
593,9.528893909706797e-05
601,9.515563098872604e-05
617,9.488373132086918e-05
625,9.474515049548756e-05
633,9.460482294732421e-05
641,9.446275421627047e-05
683,9.387718066217125e-05
691,9.372649151309105e-05
699,9.357409585614153e-05
707,9.341999970764225e-05
715,9.326420915104534e-05
731,9.294756948158578e-05
771,9.212675682375938e-05
795,9.161449701019273e-05
819,9.10876294116099e-05
861,9.036274034270054e-05
877,8.999082475715928e-05
901,8.942127739076263e-05
917,8.903388392756767e-05
925,8.883790147983734e-05
933,8.864040551740156e-05
949,8.824090429506667e-05
965,8.783544334643715e-05
973,8.763049794670775e-05
989,8.721621775056759e-05
997,8.700689930922961e-05
1031,8.637032994425882e-05
1039,8.615529673195139e-05
1047,8.593885590958065e-05
1087,8.483583863773384e-05
1095,8.461113351517376e-05
1111,8.415769224675975e-05
1127,8.369893603856764e-05
1143,8.323493733352077e-05
1151,8.300099490977135e-05
1201,8.181222301469967e-05
1209,8.157072238388968e-05
1217,8.132799513416157e-05
1225,8.108405084797154e-05
1233,8.083889915582235e-05
1249,8.034501231360672e-05
1273,7.959536998847744e-05
1289,7.908984881940225e-05
1305,7.857981298177445e-05
1329,7.780647059610731e-05
1363,7.702342635146033e-05
1371,7.676030362318333e-05
1387,7.623095845972513e-05
1419,7.516016271430479e-05
1443,7.43468068680349e-05
1451,7.407379108156299e-05
1475,7.324920310076367e-05
1507,7.213723044922118e-05
1541,7.129424355638441e-05
1557,7.07281291994493e-05
1565,7.04438685678263e-05
1605,6.901098068402112e-05
1613,6.872216535789156e-05
1621,6.843263065187501e-05
1645,6.755982469713859e-05
1661,6.697456745388783e-05
1669,6.668095746791967e-05
1677,6.638670868545686e-05
1685,6.609183272293759e-05
1719,6.520355828806323e-05
1727,6.490629025799946e-05
1735,6.460845349226382e-05
1743,6.431005974894185e-05
1751,6.401112080810761e-05
1767,6.34116545613499e-05
1791,6.250866192437267e-05
1807,6.190427662049124e-05
1815,6.160140266699436e-05
1847,6.038564403546316e-05
1855,6.008069866851758e-05
1873,5.9775375071993364e-05
1897,5.8857255513280316e-05
1905,5.855053967714674e-05
1921,5.7936166661477474e-05
1953,5.670399506143307e-05
1961,5.6395309424696055e-05
1969,5.608639105123734e-05
1985,5.5467904885135134e-05
2017,5.422867687363268e-05
2043,5.360813071670102e-05
2051,5.329766745686021e-05
2075,5.2365664042161764e-05
2083,5.2054832574367366e-05
2155,4.925606027555481e-05
2187,4.801290625010142e-05
2213,4.7391869283298997e-05
2245,4.615136577073822e-05
2277,4.4913608948762666e-05
2293,4.4296004938566934e-05
2301,4.398756422493202e-05
2309,4.367938061111042e-05
2325,4.306383333852253e-05
2333,4.2756493980508586e-05
2341,4.244946032285326e-05
2357,4.183635858072385e-05
2365,4.1530314700456704e-05
2383,4.122462492800664e-05
2391,4.091930133148243e-05
2399,4.061435596453687e-05
2423,3.9701909550871155e-05
2431,3.939859733300563e-05
2447,3.879329964732563e-05
2471,3.788884907867259e-05
2479,3.758834543865011e-05
2487,3.728835152864143e-05
2553,3.5203658778440106e-05
2561,3.490816727706242e-05
2585,3.402543254611217e-05
2601,3.34401753028614e-05
2617,3.2857612003694095e-05
2633,3.227783464210844e-05
2641,3.1989019315978885e-05
2649,3.1700934771670854e-05
2665,3.112700349155849e-05
2681,3.0556131432173694e-05
2705,2.9705756443615596e-05
2723,2.9423925067528902e-05
2731,2.914292573879255e-05
2755,2.830503080354342e-05
2763,2.802747026289244e-05
2771,2.7750796899236355e-05
2811,2.638111877659606e-05
2819,2.6109996593359554e-05
2827,2.583983728569521e-05
2835,2.5570651519029852e-05
2843,2.530244992035662e-05
2851,2.5035243077815428e-05
2859,2.4769041540274895e-05
2875,2.4239696376816678e-05
2973,2.1404630011522596e-05
2997,2.065498768639328e-05
3021,1.9915949152028436e-05
3029,1.9672004865838446e-05
3037,1.942927761611033e-05
3045,1.9187776985300333e-05
3063,1.8947512507439858e-05
3071,1.8708493667759098e-05
3079,1.84707299023125e-05
3095,1.799900509022866e-05
3103,1.7765062666479228e-05
3135,1.684230775324025e-05
3143,1.6614918256529934e-05
3151,1.638886648482625e-05
3159,1.6164161362266173e-05
3183,1.5498214331265904e-05
3265,1.3575913301502986e-05
3273,1.3369502053292249e-05
3281,1.3164556653562854e-05
3289,1.2961085193208267e-05
3297,1.2759095704933344e-05
3313,1.2359594482598446e-05
3321,1.2162098520162678e-05
3337,1.1771654876458892e-05
3345,1.157872260923738e-05
3353,1.1387326887403327e-05
3411,1.0271638860561861e-05
3419,1.0091207089499388e-05
3427,9.91237058839013e-06
3453,9.559511573409197e-06
3461,9.385502989807271e-06
3469,9.213117536148008e-06
3503,8.705767687650258e-06
3519,8.375773151162758e-06
3527,8.213267130884894e-06
3561,7.735790848954639e-06
3603,7.1228193378287565e-06
3611,6.9738426455674744e-06
3627,6.681050089043472e-06
3635,6.537245783729551e-06
3677,5.979440047464635e-06
3685,5.844369011273965e-06
3703,5.711060902932041e-06
3711,5.579520985214703e-06
3719,5.4497544510927145e-06
3727,5.321766423526608e-06
3761,4.948523555389429e-06
3827,4.140780605964478e-06
3835,4.032674046133234e-06
3869,3.719377778599664e-06
3877,3.6186339027601713e-06
3903,3.4227024433898913e-06
3935,3.0531714436399017e-06
3953,2.9654625589913167e-06
3969,2.795677924644513e-06
3977,2.713608877752949e-06
4011,2.478733473739769e-06
4019,2.4042292207236417e-06
4035,2.260919797064431e-06
4061,2.1252278833744254e-06
4085,1.936019386554966e-06
4103,1.876781088929902e-06
4111,1.8194623527311827e-06
4119,1.76406544080433e-06
4135,1.6590457617105427e-06
4177,1.4721594280157735e-06
4219,1.3162401292595828e-06
4235,1.2499246594256386e-06
4253,1.219682752147544e-06
4269,1.1650365623155246e-06
4285,1.1181809351193617e-06
4303,1.097676942800563e-06
4319,1.06252064800213e-06
4327,1.0478697334328268e-06
4335,1.035171104290833e-06
4377,1.003908311911095e-06
4396,0.0001
4422,5.034449141944897e-05
4430,5.018898437370484e-05
4438,5.003348039755937e-05
4462,4.956700223408729e-05
4470,4.9411525883421e-05
4478,4.925606027555481e-05
4510,4.863433595783824e-05
4526,4.832357814326569e-05
4542,4.801290625010142e-05
4550,4.785760635694136e-05
4566,4.754708634118655e-05
4592,4.723668290140679e-05
4624,4.661627476147168e-05
4640,4.6306294553967365e-05
4664,4.584163849073354e-05
4680,4.553209511486487e-05
4688,4.537739621010408e-05
4696,4.522274786337464e-05
4720,4.475912143195642e-05
4736,4.445031790297547e-05
4754,4.4296004938566934e-05
4770,4.398756422493202e-05
4786,4.367938061111042e-05
4818,4.306383333852253e-05
4850,4.244946032285326e-05
4874,4.1989509536169226e-05
4882,4.183635858072385e-05
4890,4.1683293131921596e-05
4898,4.1530314700456704e-05
4906,4.137742479616451e-05
4932,4.1071916604056104e-05
4948,4.0766780616536705e-05
4956,4.061435596453687e-05
4972,4.030980086589088e-05
4988,4.00056480588583e-05
5012,3.955019940688278e-05
5020,3.939859733300563e-05
5036,3.909572337950878e-05
5094,3.81898505853397e-05
5102,3.803928834090938e-05
5110,3.788884907867259e-05
5118,3.773853428340405e-05
5134,3.7438284026714043e-05
5182,3.6540674492943607e-05
5190,3.6391546507736185e-05
5198,3.624255776726894e-05
5206,3.6093709742000544e-05
5214,3.5945003901000964e-05
5222,3.579644171193677e-05
5230,3.564802464105683e-05
5246,3.535163171166921e-05
5264,3.5203658778440106e-05
5280,3.490816727706242e-05
5296,3.461329131454314e-05
5320,3.417215696448679e-05
5352,3.358624065937157e-05
5360,3.34401753028614e-05
5376,3.314855115053268e-05
5384,3.300299523292678e-05
5392,3.2857612003694095e-05
5400,3.2712402897708415e-05
5416,3.242251278636641e-05
5466,3.1700934771670854e-05
5482,3.1413592382268874e-05
5506,3.0983995145023926e-05
5514,3.084117941357836e-05
5522,3.06985577067554e-05
5538,3.0413901995523108e-05
5546,3.027187080055073e-05
5570,2.984698067374263e-05
5612,2.9283320703131156e-05
5620,2.914292573879255e-05
5628,2.9002741560154667e-05
5692,2.788902200045219e-05
5724,2.733747419410163e-05
5732,2.720015535781605e-05
5740,2.706306648159055e-05
5756,2.6789584019084325e-05
5774,2.6653193131965116e-05
5782,2.65170376032023e-05
5814,2.597479591259583e-05
5822,2.583983728569521e-05
5830,2.570512204464488e-05
5838,2.5570651519029852e-05
5846,2.543642703601996e-05
5854,2.530244992035662e-05
5862,2.516872149433993e-05
5870,2.5035243077815428e-05
5878,2.490201598816122e-05
5886,2.4769041540274895e-05
5902,2.4503855816915855e-05
5918,2.4239696376816678e-05
6000,2.3063957802533652e-05
6008,2.293465698383469e-05
6016,2.2805628223942742e-05
6032,2.254839197172919e-05
6040,2.2420187018225568e-05
6048,2.22922592011398e-05
6080,2.1783344507603453e-05
6122,2.127896450686342e-05
6178,2.0407450264117034e-05
6194,2.0161100844177683e-05
6202,2.0038374676131033e-05
6210,1.9915949152028436e-05
6226,1.9672004865838446e-05
6284,1.8947512507439858e-05
6292,1.882784679191667e-05
6300,1.8708493667759098e-05
6324,1.8352321607655922e-05
6332,1.8234230597606506e-05
6340,1.8116458037674877e-05
6348,1.799900509022866e-05
6356,1.7881872914481025e-05
6364,1.7765062666479228e-05
6380,1.7532412562004542e-05
6388,1.7416575001694256e-05
