_step,x/lr1
4,3.3270794246404e-05
20,9.993355504538214e-05
36,9.999120644285005e-05
44,9.998436736952335e-05
52,9.997557473810371e-05
84,9.992087673039426e-05
108,9.985936556290039e-05
116,9.983496343768448e-05
124,9.980861365258704e-05
132,9.978031724785246e-05
140,9.975007534057437e-05
148,9.971788912465145e-05
180,9.956972773794058e-05
196,9.948401787083122e-05
220,9.934095423828947e-05
228,9.92894074598754e-05
236,9.923593455919566e-05
276,9.893975476411087e-05
284,9.887477211662558e-05
292,9.8807879715968e-05
300,9.873908020293558e-05
324,9.852126652626024e-05
342,9.844486647586725e-05
350,9.836657364424055e-05
358,9.828639112224706e-05
390,9.79468285563601e-05
398,9.78572465521621e-05
414,9.767247740510233e-05
422,9.757729755661011e-05
438,9.738136609723984e-05
446,9.728062222140034e-05
462,9.707359806323416e-05
478,9.685921939403553e-05
486,9.67492826516023e-05
494,9.663752006668144e-05
520,9.640853509006574e-05
528,9.629132173830568e-05
536,9.617230062357069e-05
576,9.555024554890729e-05
592,9.528893909706797e-05
600,9.515563098872604e-05
616,9.488373132086918e-05
640,9.446275421627047e-05
656,9.417341570853019e-05
664,9.402615735443254e-05
682,9.387718066217125e-05
698,9.357409585614153e-05
706,9.341999970764225e-05
714,9.326420915104534e-05
754,9.246005783621163e-05
818,9.10876294116099e-05
826,9.090879291050061e-05
852,9.05463412215599e-05
860,9.036274034270054e-05
868,9.01775657511084e-05
932,8.864040551740156e-05
940,8.844140383706282e-05
948,8.824090429506667e-05
988,8.721621775056759e-05
1038,8.615529673195139e-05
1046,8.593885590958065e-05
1062,8.55017856687341e-05
1086,8.483583863773384e-05
1134,8.346758743799547e-05
1142,8.323493733352077e-05
1158,8.27657694023935e-05
1166,8.25292700976875e-05
1200,8.181222301469967e-05
1208,8.157072238388968e-05
1216,8.132799513416157e-05
1232,8.083889915582235e-05
1240,8.059254973588297e-05
1248,8.034501231360672e-05
1272,7.959536998847744e-05
1280,7.934317874359453e-05
1304,7.857981298177445e-05
1320,7.806534301616531e-05
1328,7.780647059610731e-05
1336,7.754652016334632e-05
1344,7.728550198028036e-05
1394,7.596475692218459e-05
1402,7.569755007964339e-05
1410,7.542934848097017e-05
1442,7.43468068680349e-05
1482,7.297252973710758e-05
1490,7.269496919645662e-05
1514,7.185707426120748e-05
1532,7.15760749324711e-05
1540,7.129424355638441e-05
1556,7.07281291994493e-05
1588,6.958640761773113e-05
1604,6.901098068402112e-05
1644,6.755982469713859e-05
1652,6.726752705214194e-05
1660,6.697456745388783e-05
1668,6.668095746791967e-05
1684,6.609183272293759e-05
1702,6.579634122155991e-05
1710,6.550024584682232e-05
1718,6.520355828806323e-05
1734,6.460845349226382e-05
1742,6.431005974894185e-05
1750,6.401112080810761e-05
1758,6.37116484713586e-05
1790,6.250866192437267e-05
1798,6.220670035267438e-05
1814,6.160140266699436e-05
1822,6.129809044912887e-05
1830,6.0994351941141715e-05
1854,6.008069866851758e-05
1904,5.855053967714674e-05
1912,5.8243506019491436e-05
1920,5.7936166661477474e-05
1968,5.608639105123734e-05
1976,5.577725213662537e-05
1984,5.5467904885135134e-05
1992,5.5158361509266454e-05
2008,5.453873527262381e-05
2024,5.39184712728631e-05
2050,5.329766745686021e-05
2058,5.29870937498986e-05
2074,5.2365664042161764e-05
2090,5.1743939724445214e-05
2098,5.14329977659127e-05
2154,4.925606027555481e-05
2162,4.894516742563266e-05
2186,4.801290625010142e-05
2194,4.770233254313979e-05
2228,4.677132312636733e-05
2244,4.615136577073822e-05
2252,4.584163849073354e-05
2268,4.522274786337464e-05
2276,4.4913608948762666e-05
2284,4.4604690575303954e-05
2292,4.4296004938566934e-05
2324,4.306383333852253e-05
2340,4.244946032285326e-05
2348,4.2142744486719666e-05
2382,4.122462492800664e-05
2398,4.061435596453687e-05
2430,3.939859733300563e-05
2462,3.81898505853397e-05
2486,3.728835152864143e-05
2518,3.6093709742000544e-05
2534,3.54997541531777e-05
2552,3.5203658778440106e-05
2560,3.490816727706242e-05
2592,3.3732472947858084e-05
2616,3.2857612003694095e-05
2624,3.256736934812499e-05
2632,3.227783464210844e-05
2640,3.1989019315978885e-05
2656,3.1413592382268874e-05
2664,3.112700349155849e-05
2672,3.084117941357836e-05
2688,3.027187080055073e-05
2730,2.914292573879255e-05
2738,2.8862769550778833e-05
2746,2.8583467563574386e-05
2754,2.830503080354342e-05
2762,2.802747026289244e-05
2794,2.6926208918437003e-05
2810,2.638111877659606e-05
2826,2.583983728569521e-05
2842,2.530244992035662e-05
2850,2.5035243077815428e-05
2858,2.4769041540274895e-05
2866,2.4503855816915855e-05
2892,2.397657364853967e-05
2924,2.293465698383469e-05
2940,2.2420187018225568e-05
2964,2.165682125640549e-05
2988,2.0903703338652835e-05
2996,2.065498768639328e-05
3036,1.942927761611033e-05
3070,1.8708493667759098e-05
3078,1.84707299023125e-05
3094,1.799900509022866e-05
3110,1.7532412562004542e-05
3134,1.684230775324025e-05
3142,1.6614918256529934e-05
3150,1.638886648482625e-05
3166,1.5940811759823114e-05
3182,1.5498214331265904e-05
3214,1.4629670055741196e-05
3232,1.4416052942640124e-05
3248,1.39931006907704e-05
3256,1.378378224943242e-05
3272,1.3369502053292249e-05
3288,1.2961085193208267e-05
3296,1.2759095704933344e-05
3304,1.2558596162937175e-05
3328,1.1966116072432343e-05
3336,1.1771654876458892e-05
3344,1.157872260923738e-05
3360,1.1197475266932144e-05
3368,1.100917524284074e-05
3384,1.063725965729947e-05
3418,1.0091207089499388e-05
3434,9.735136417392843e-06
3452,9.559511573409197e-06
3460,9.385502989807271e-06
3484,8.87324317624063e-06
3502,8.705767687650258e-06
3510,8.539942163788383e-06
3526,8.213267130884894e-06
3560,7.735790848954639e-06
3568,7.580000292357747e-06
3610,6.9738426455674744e-06
3618,6.826584291469807e-06
3626,6.681050089043472e-06
3634,6.537245783729551e-06
3660,6.254849504512439e-06
3668,6.116268679130821e-06
3676,5.979440047464635e-06
3702,5.711060902932041e-06
3710,5.579520985214703e-06
3734,5.195561955264583e-06
3752,5.071146028642937e-06
3760,4.948523555389429e-06
3768,4.827699376429318e-06
3802,4.476063948531562e-06
3810,4.362479933318564e-06
3826,4.140780605964478e-06
3852,3.9264019367658445e-06
3876,3.6186339027601713e-06
3902,3.4227024433898913e-06
3910,3.3275225948976698e-06
3918,3.2342050350411713e-06
3926,3.142753447837887e-06
3968,2.795677924644513e-06
3976,2.713608877752949e-06
4052,2.1921202840320065e-06
4076,1.997174906979782e-06
4084,1.936019386554966e-06
4110,1.8194623527311827e-06
4126,1.7105925401246003e-06
4160,1.5617386354732643e-06
4184,1.430272262059429e-06
4234,1.2499246594256386e-06
4260,1.1913863474129593e-06
4268,1.1650365623155246e-06
4276,1.1406344370996191e-06
4284,1.1181809351193617e-06
4302,1.097676942800563e-06
4310,1.0791232696057308e-06
4318,1.06252064800213e-06
4326,1.0478697334328268e-06
4352,1.0244252618962891e-06
4368,1.0087935571499562e-06
4395,0.0001
4413,5.0500000000000015e-05
4421,5.034449141944897e-05
4429,5.018898437370484e-05
4453,4.972248779306489e-05
4461,4.956700223408729e-05
4469,4.9411525883421e-05
4477,4.925606027555481e-05
4485,4.9100606944871485e-05
4493,4.894516742563266e-05
4509,4.863433595783824e-05
4517,4.847894707706375e-05
4533,4.8168230689872685e-05
4541,4.801290625010142e-05
4549,4.785760635694136e-05
4565,4.754708634118655e-05
4583,4.7391869283298997e-05
4591,4.723668290140679e-05
4599,4.708152872713693e-05
4615,4.677132312636733e-05
4623,4.661627476147168e-05
4639,4.6306294553967365e-05
4655,4.59964799067733e-05
4671,4.5686843050841244e-05
4679,4.553209511486487e-05
4687,4.537739621010408e-05
4695,4.522274786337464e-05
4711,4.4913608948762666e-05
4719,4.475912143195642e-05
4769,4.398756422493202e-05
4777,4.3833439519890954e-05
4785,4.367938061111042e-05
4793,4.3525389019089654e-05
4801,4.337146626366352e-05
4809,4.321761386398745e-05
4817,4.306383333852253e-05
4825,4.2910126205020454e-05
4857,4.229606192000809e-05
4865,4.2142744486719666e-05
4873,4.1989509536169226e-05
4881,4.183635858072385e-05
4889,4.1683293131921596e-05
4897,4.1530314700456704e-05
4923,4.122462492800664e-05
4939,4.091930133148243e-05
4971,4.030980086589088e-05
4979,4.015767342508062e-05
4995,3.985372626765289e-05
5003,3.9701909550871155e-05
5011,3.955019940688278e-05
5027,3.924710482549101e-05
5067,3.8491338075627336e-05
5093,3.81898505853397e-05
5133,3.7438284026714043e-05
5149,3.713854942420543e-05
5189,3.6391546507736185e-05
5197,3.624255776726894e-05
5205,3.6093709742000544e-05
5213,3.5945003901000964e-05
5245,3.535163171166921e-05
5271,3.505583681392347e-05
5279,3.490816727706242e-05
5287,3.476065162529566e-05
5295,3.461329131454314e-05
5335,3.387887072506726e-05
5343,3.3732472947858084e-05
5351,3.358624065937157e-05
5367,3.329427831993367e-05
5383,3.300299523292678e-05
5391,3.2857612003694095e-05
5407,3.256736934812499e-05
5433,3.227783464210844e-05
5441,3.2133336343265975e-05
5457,3.1844884984597956e-05
5473,3.155717009792807e-05
5489,3.127020304174738e-05
5497,3.112700349155849e-05
5505,3.0983995145023926e-05
5521,3.06985577067554e-05
5537,3.0413901995523108e-05
5545,3.027187080055073e-05
5561,2.9988408740832442e-05
5569,2.984698067374263e-05
5603,2.9423925067528902e-05
5611,2.9283320703131156e-05
5635,2.8862769550778833e-05
5651,2.8583467563574386e-05
5659,2.844414034234364e-05
5675,2.8166140320128663e-05
5691,2.788902200045219e-05
5707,2.761279632347089e-05
5723,2.733747419410163e-05
5739,2.706306648159055e-05
5789,2.638111877659606e-05
5805,2.6109996593359554e-05
5813,2.597479591259583e-05
5829,2.570512204464488e-05
5837,2.5570651519029852e-05
5845,2.543642703601996e-05
5877,2.490201598816122e-05
5893,2.463632104656054e-05
5959,2.3714498019719655e-05
6007,2.293465698383469e-05
6023,2.2676872796319526e-05
6031,2.254839197172919e-05
6047,2.22922592011398e-05
6063,2.203724002385771e-05
6071,2.191015118059776e-05
6137,2.102849993443644e-05
6145,2.0903703338652835e-05
6153,2.0779198846368752e-05
6185,2.0284126444910678e-05
6201,2.0038374676131033e-05
6209,1.9915949152028436e-05
6233,1.9550488511382592e-05
6241,1.942927761611033e-05
6257,1.9187776985300333e-05
6265,1.9067489633276346e-05
6283,1.8947512507439858e-05
6307,1.8589454312934228e-05
6315,1.84707299023125e-05
6347,1.799900509022866e-05
6363,1.7765062666479228e-05
6379,1.7532412562004542e-05
6387,1.7416575001694256e-05
6395,1.730106396143236e-05
6411,1.7071025998009294e-05
6419,1.6956501345229923e-05
6427,1.684230775324025e-05
6461,1.6501724596051793e-05
6469,1.638886648482625e-05
6477,1.6276345036717288e-05
6485,1.6164161362266173e-05
6501,1.5940811759823114e-05
6509,1.5829648036201595e-05
6525,1.56083482298531e-05
6589,1.4737010178759192e-05
