_step,x/lr0
3,3.326935380678183e-05
11,6.498910221140827e-05
19,9.048841010113665e-05
27,7.959536998847744e-05
43,6.579634122155991e-05
51,5.0500000000000015e-05
67,2.1404630011522596e-05
102,2.5750000000000006e-05
118,1.04536587784401e-05
126,5.27949984669125e-06
153,9.965688861926885e-05
161,9.960967771506666e-05
169,9.955943749461576e-05
177,9.950617105696959e-05
201,9.932824823023653e-05
225,9.912321891107009e-05
233,9.90488713799599e-05
241,9.897152912577741e-05
257,9.8807879715968e-05
289,9.844486647586725e-05
297,9.834670504983692e-05
305,9.824559221366101e-05
313,9.814153420445554e-05
321,9.803453744100869e-05
337,9.781175423251735e-05
371,9.745570963396248e-05
379,9.73312252619635e-05
387,9.720385211939559e-05
435,9.637940148418598e-05
451,9.60818512669808e-05
459,9.592885397135707e-05
483,9.545308710434153e-05
491,9.528893909706797e-05
541,9.442696562943453e-05
573,9.368855235010347e-05
581,9.349725996469047e-05
589,9.330331530574768e-05
597,9.310673033669521e-05
605,9.290751718381996e-05
613,9.270568813552756e-05
621,9.250125564158444e-05
629,9.229423231234974e-05
645,9.187246438772938e-05
669,9.122070564203257e-05
677,9.099841101253866e-05
719,9.008439059511098e-05
727,8.984974549268175e-05
743,8.937318807859689e-05
751,8.913130516324733e-05
767,8.864040551740156e-05
783,8.814009529720153e-05
791,8.788644970811659e-05
855,8.577560668679767e-05
905,8.438508174347008e-05
929,8.352554696177769e-05
937,8.323493733352077e-05
953,8.26476783923441e-05
961,8.235106530432206e-05
977,8.17519633747442e-05
1001,8.083889915582235e-05
1017,8.022080115363127e-05
1025,7.990899261365091e-05
1083,7.800072653447032e-05
1099,7.735085606482438e-05
1107,7.702342635146033e-05
1123,7.636367895343948e-05
1131,7.603140196510986e-05
1139,7.569755007964338e-05
1147,7.536214389059695e-05
1155,7.502520408740418e-05
1171,7.43468068680349e-05
1179,7.400539129859443e-05
1187,7.366252580589839e-05
1195,7.331823153950539e-05
1213,7.297252973710758e-05
1221,7.26254417232205e-05
1229,7.227698890786781e-05
1253,7.12236570081027e-05
1261,7.086996075095289e-05
1285,6.980142054551533e-05
1301,6.908307077565152e-05
1309,6.872216535789157e-05
1341,6.726752705214194e-05
1349,6.690122547889727e-05
1357,6.65339122008084e-05
1383,6.579634122155991e-05
1391,6.542612901725255e-05
1407,6.468296536002602e-05
1431,6.356171597328594e-05
1439,6.318632397008333e-05
1447,6.281014941466031e-05
1455,6.243321551123542e-05
1463,6.205554551086731e-05
1479,6.129809044912887e-05
1487,6.091835211115464e-05
1495,6.0537971120147384e-05
1503,6.015697093979836e-05
1511,5.977537507199338e-05
1519,5.9393207055363034e-05
1561,5.78592854778977e-05
1569,5.747461098091036e-05
1601,5.5931848399006745e-05
1609,5.5545260561854974e-05
1617,5.5158361509266454e-05
1633,5.438372523852833e-05
1641,5.399603580359276e-05
1649,5.360813071670102e-05
1665,5.2831769310127324e-05
1705,5.088876809399121e-05
1731,5.0111231906008796e-05
1795,4.7003964196407256e-05
1803,4.661627476147168e-05
1811,4.62288248930028e-05
1843,4.468189882583704e-05
1851,4.4296004938566934e-05
1867,4.352538901908967e-05
1875,4.314071452210231e-05
1893,4.2756493980508586e-05
1901,4.237275109484129e-05
1909,4.1989509536169226e-05
1917,4.1606792944636975e-05
1925,4.122462492800664e-05
1949,4.0081647888845375e-05
1973,3.8944454489132674e-05
2013,3.7063697731678824e-05
2021,3.6689940251058165e-05
2029,3.631703463997399e-05
2045,3.557387098274748e-05
2071,3.4834390124511484e-05
2079,3.44660877991916e-05
2087,3.409877452110274e-05
2095,3.3732472947858084e-05
2103,3.33672056746641e-05
2119,3.263986408886174e-05
2127,3.227783464210845e-05
2151,3.1198579454484675e-05
2167,3.048499202132713e-05
2199,2.9072807214739504e-05
2233,2.802747026289244e-05
2241,2.7681768460494628e-05
2273,2.6313248545900726e-05
2289,2.5637856109403057e-05
2305,2.4968598034890156e-05
2329,2.3976573648539646e-05
2345,2.332337050909248e-05
2361,2.2676872796319526e-05
2419,2.0779198846368752e-05
2427,2.0469223625401013e-05
2459,1.9248036625255806e-05
2483,1.8352321607655922e-05
2499,1.7765062666479238e-05
2555,1.577419442434265e-05
2597,1.468329593017177e-05
2621,1.3888260798558816e-05
2629,1.3627744198714709e-05
2637,1.3369502053292249e-05
2645,1.3113550291883414e-05
2661,1.260858093209214e-05
2693,1.1626811921403125e-05
2701,1.1387326887403327e-05
2717,1.0915609404889015e-05
2725,1.068340605413083e-05
2751,1.0226381749711044e-05
2759,1.0001588987461342e-05
2817,8.705767687650268e-06
2851,8.092482816180047e-06
2867,7.69668469425232e-06
2875,7.50274003530953e-06
2893,7.3114476498965526e-06
2917,6.75360131060967e-06
2925,6.573034370565501e-06
2959,6.047634999849527e-06
2967,5.87797170294383e-06
3075,4.195520473921555e-06
3109,3.7961478806044283e-06
3125,3.5442903660375283e-06
3143,3.4227024433898913e-06
3159,3.1882457674826672e-06
3175,2.9654625589913277e-06
3201,2.7544077863390083e-06
3225,2.459929563307151e-06
3251,2.278417344992456e-06
3267,2.1088030806428626e-06
3275,2.0284708742225987e-06
3301,1.876781088929902e-06
3309,1.8054328669979803e-06
3317,1.7370883553386896e-06
3325,1.6717517697634743e-06
3343,1.6094271405406757e-06
3351,1.5501183121470309e-06
3359,1.4938289430304064e-06
3375,1.390322284933354e-06
3393,1.3431113807311435e-06
3401,1.298932704968614e-06
3417,1.219682752147544e-06
3425,1.1846163635994111e-06
3459,1.097676942800563e-06
3475,1.0549511893824914e-06
3501,1.0244252618962891e-06
3509,1.0137397042089715e-06
3517,1.0061066921578045e-06
3536,0.0001
3554,2.5749999999999996e-05
3618,2.397657364853967e-05
3626,2.3758104136356085e-05
3650,2.310711831245447e-05
3658,2.2891617105505346e-05
3666,2.267687279631955e-05
3724,2.1404630011522596e-05
3740,2.098686868920202e-05
3748,2.0779198846368752e-05
3780,1.9956724180532937e-05
3788,1.975318487622364e-05
3796,1.9550488511382592e-05
3804,1.9348640643033057e-05
3812,1.914764680493627e-05
3828,1.874824323732668e-05
3844,1.8352321607655922e-05
3894,1.7378034985236525e-05
3902,1.7185880581266232e-05
3918,1.6804316986533576e-05
3926,1.661491825652991e-05
3934,1.6426448503159187e-05
3942,1.623891289341487e-05
3982,1.5315426043286874e-05
3990,1.5133602358176246e-05
4006,1.4772868709131072e-05
4014,1.4593968634891764e-05
4030,1.4239126510024746e-05
4038,1.4063194187573159e-05
4046,1.3888260798558816e-05
4088,1.319861208106894e-05
4096,1.3028744745238064e-05
4104,1.2859904702798464e-05
4112,1.26920965825852e-05
4128,1.2359594482598446e-05
4136,1.2194909618537941e-05
4152,1.186869483675268e-05
4184,1.1229009655583845e-05
4200,1.0915609404889015e-05
4234,1.04536587784401e-05
4250,1.0151174111436569e-05
4266,9.853114147881648e-06
4284,9.705753663210237e-06
4292,9.559511573409185e-06
4300,9.414391887779318e-06
4308,9.270398584850082e-06
4316,9.127535612270643e-06
4358,8.567464891584209e-06
4366,8.43031169715025e-06
4384,8.294311864472437e-06
4392,8.159469122054919e-06
4400,8.025787166679589e-06
4416,7.761920244964804e-06
4450,7.374916349550609e-06
4492,6.8754791227828905e-06
4500,6.75360131060967e-06
4508,6.6329228280548774e-06
4516,6.513446983580041e-06
4558,6.047634999849516e-06
4616,5.38553780654546e-06
4642,5.174701629691736e-06
4650,5.071146028642937e-06
4658,4.968835882573985e-06
4684,4.7679631406913115e-06
4716,4.381284234515326e-06
4742,4.195520473921566e-06
4784,3.839246190937163e-06
4792,3.7533696732446887e-06
4842,3.343256677947482e-06
4866,3.1126848721626744e-06
4892,2.9654625589913167e-06
4916,2.7544077863390083e-06
4934,2.686671598691126e-06
4942,2.6202462375940926e-06
4950,2.555133524132758e-06
4984,2.367688940315016e-06
5008,2.1921202840320065e-06
5016,2.1362440654544404e-06
5042,2.0284708742225987e-06
5066,1.8767810889299132e-06
5084,1.8288820755842485e-06
5134,1.6094271405406757e-06
5142,1.5695526029701701e-06
5150,1.5310195183320775e-06
5158,1.4938289430304064e-06
5192,1.390322284933354e-06
5216,1.298932704968603e-06
5242,1.2447492869193e-06
5250,1.219682752147544e-06
5266,1.173603467149531e-06
5334,1.0678380296486046e-06
5358,1.0332445079565212e-06
5366,1.0244252618962891e-06
5384,1.0169624137099209e-06
5400,1.0061066921578045e-06
5477,3.461329131454314e-05
5485,3.44660877991916e-05
5493,3.431904253208036e-05
5509,3.402543254611217e-05
5541,3.34401753028614e-05
5549,3.329427831993367e-05
5565,3.300299523292678e-05
5573,3.2857612003694095e-05
5581,3.2712402897708415e-05
5589,3.256736934812499e-05
5631,3.1989019315978885e-05
5639,3.1844884984597956e-05
5655,3.155717009792807e-05
5663,3.1413592382268874e-05
5687,3.0983995145023926e-05
5711,3.0556131432173694e-05
5719,3.0413901995523108e-05
5727,3.027187080055073e-05
5743,2.9988408740832442e-05
5751,2.984698067374263e-05
5767,2.95647374442775e-05
5801,2.914292573879255e-05
5809,2.9002741560154667e-05
5825,2.87230110921322e-05
5833,2.8583467563574386e-05
5849,2.830503080354342e-05
5857,2.8166140320128663e-05
5873,2.788902200045219e-05
5889,2.761279632347089e-05
5913,2.720015535781605e-05
5929,2.6926208918437003e-05
5971,2.638111877659606e-05
5987,2.6109996593359554e-05
6003,2.583983728569521e-05
6027,2.543642703601996e-05
6059,2.490201598816122e-05
6067,2.4769041540274895e-05
6075,2.463632104656054e-05
6099,2.4239696376816678e-05
6107,2.4108004773509164e-05
6125,2.397657364853967e-05
6157,2.345347983665368e-05
6173,2.3193529403892713e-05
6189,2.293465698383469e-05
6197,2.2805628223942742e-05
6229,2.22922592011398e-05
6245,2.203724002385771e-05
6253,2.191015118059776e-05
6261,2.1783344507603453e-05
6277,2.1530582675737265e-05
6303,2.127896450686342e-05
6311,2.1153587402027564e-05
6319,2.102849993443644e-05
6327,2.0903703338652835e-05
6343,2.065498768639328e-05
6351,2.053107108464043e-05
6375,2.0161100844177683e-05
6391,1.9915949152028436e-05
6431,1.930837337632424e-05
6473,1.882784679191667e-05
6481,1.8708493667759098e-05
6489,1.8589454312934228e-05
6505,1.8352321607655922e-05
6537,1.7881872914481025e-05
6569,1.7416575001694256e-05
6577,1.730106396143236e-05
6601,1.6956501345229923e-05
6609,1.684230775324025e-05
6617,1.672844634908488e-05
6643,1.6501724596051793e-05
