_step,train/mean_loss
6,11.080078125
30,10.441763877868652
38,10.435288429260254
62,10.319169044494629
94,10.271894454956055
126,10.165839195251465
134,10.145339012145996
142,10.117504119873047
150,10.048358917236328
158,10.005725860595703
166,10.01203727722168
174,9.992605209350586
190,9.865635871887207
254,9.521369934082031
278,9.36398696899414
302,9.240917205810547
310,9.194870948791504
318,9.181357383728027
326,9.114428520202637
344,15.312664031982422
352,9.393012046813965
360,9.1665620803833
376,9.049176216125488
384,8.88832950592041
400,8.85317611694336
408,8.857707977294922
440,8.608463287353516
456,8.622405052185059
464,8.562670707702637
472,8.478100776672363
480,8.410091400146484
488,8.457839012145996
496,8.369678497314453
522,8.308303833007812
538,8.224297523498535
562,8.207355499267578
578,8.041433334350586
594,7.989858627319336
618,7.946744441986084
626,7.8849077224731445
634,7.852478504180908
650,7.800492763519287
700,7.709319591522217
708,7.701122283935547
724,7.561967849731445
732,7.4663615226745605
740,7.468326091766357
764,7.428177833557129
796,7.311182022094727
820,7.2864484786987305
828,7.217127323150635
878,7.183262348175049
886,7.159214019775391
902,7.078079700469971
926,6.99404764175415
934,6.9919633865356445
942,7.015804290771484
950,6.999570846557617
958,6.9465765953063965
982,6.87907075881958
998,6.881811618804932
1006,6.866478443145752
1032,6.72342586517334
1048,6.730362892150879
1064,6.782320022583008
1096,6.563462734222412
1112,6.6622419357299805
1120,6.5854644775390625
1144,6.533779144287109
1160,6.488063335418701
1168,6.447015762329102
1202,6.520230293273926
1226,6.409080982208252
1250,6.348046779632568
1258,6.354501247406006
1274,6.315400123596191
1298,6.269877910614014
1314,6.225884914398193
1338,6.273721694946289
1364,6.17946195602417
1372,6.163913726806641
1396,6.076453685760498
1412,6.1370158195495605
1420,6.095836639404297
1436,6.040786266326904
1468,5.996866703033447
1476,6.026108741760254
1484,6.027926445007324
1492,5.9421257972717285
1516,5.910069465637207
1534,5.892588138580322
1550,5.87130880355835
1558,5.84639310836792
1566,5.91107177734375
1590,5.753572463989258
1606,5.862354755401611
1614,5.730886936187744
1630,5.774677276611328
1638,5.755187034606934
1646,5.773484706878662
1662,5.786771774291992
1670,5.673523902893066
1704,5.662505626678467
1728,5.64012336730957
1736,5.577882289886475
1752,5.584415435791016
1784,5.602867603302002
1808,5.514430522918701
1816,5.581120491027832
1824,5.436811923980713
1832,5.529177665710449
1840,5.419760227203369
1848,5.441009044647217
1856,5.431809425354004
1874,5.475181579589844
1882,5.440978050231934
1890,5.443780422210693
1898,5.423679351806641
1906,5.420714378356934
1938,5.387800693511963
1954,5.318627834320068
1978,5.3027873039245605
2010,5.272756576538086
2026,5.252378463745117
2044,5.215806484222412
2052,5.290976524353027
2060,5.234929084777832
2068,5.234807968139648
2084,5.236447334289551
2100,5.129228115081787
2108,5.212429046630859
2124,5.166802406311035
2156,5.130659580230713
2172,5.1190876960754395
2180,5.122631549835205
2196,5.098209381103516
2230,5.00361442565918
2238,5.011763572692871
2246,5.063307762145996
2286,4.96828031539917
2302,4.973069667816162
2318,4.93911600112915
2326,4.97599983215332
2334,4.928617477416992
2350,4.955531597137451
2366,4.883525848388672
2448,4.863476753234863
2456,4.784696578979492
2464,4.803477764129639
2472,4.7866291999816895
2504,4.791226387023926
2520,4.790762901306152
2528,4.785775661468506
2536,4.723514556884766
2554,4.753098487854004
2570,4.717765808105469
2586,4.736155033111572
2626,4.659432888031006
2634,4.669179916381836
2642,4.674488067626953
2690,4.677711009979248
2698,4.644247055053711
2706,4.658864498138428
2748,4.626676082611084
2764,4.584221839904785
2772,4.542848110198975
2796,4.557290554046631
2804,4.5347795486450195
2812,4.575348377227783
2820,4.522485256195068
2828,4.633378028869629
2836,4.555749416351318
2844,4.488112449645996
2852,4.505649089813232
2876,4.497143745422363
2902,4.4850873947143555
2910,4.508524417877197
2926,4.480040073394775
2934,4.512269496917725
2958,4.4942708015441895
2982,4.4333391189575195
2990,4.40482234954834
2998,4.5032758712768555
3006,4.418934345245361
3014,4.407881259918213
3022,4.402154922485352
3030,4.401915073394775
3038,4.41272497177124
3072,4.37652063369751
3088,4.371547222137451
3096,4.329489231109619
3112,4.362165451049805
3120,4.341385841369629
3136,4.390559196472168
3144,4.310671806335449
3152,4.345269680023193
3176,4.320136070251465
3192,4.326361179351807
3200,4.340395927429199
3234,4.301945686340332
3242,4.314284801483154
3314,4.284109592437744
3330,4.173365116119385
3338,4.203600883483887
3346,4.294058799743652
3354,4.235107898712158
3378,4.23366641998291
3428,4.197438716888428
3454,4.154167175292969
3470,4.208698272705078
3478,4.175594329833984
3520,4.167068958282471
3554,4.1739420890808105
3570,4.161118030548096
3578,4.12628698348999
3604,4.136393070220947
3612,4.180424690246582
3620,4.170064926147461
3628,4.125561237335205
3636,4.1411285400390625
3662,4.128671169281006
3678,4.08552360534668
